osm_id,highway,addr:city,addr:country,addr:housenumber,addr:municipality,addr:postcode,addr:street,osak:identifier,branch,brand,brand:wikidata,brand:wikipedia,fvst:navnelbnr,name,opening_hours,payment:cash,payment:credit_cards,ref:DK:cvr,ref:DK:cvr:pnummer,shop,wheelchair,amenity,cuisine,note,phone,website,bench,bin,bus,lit,network,network:wikidata,public_transport,shelter,fvst:name,capacity,takeaway,fvst:fixme,alt_name,toilets:wheelchair,atm,operator,access:covid19,seasonal,entrance,description,email,second_hand,crossing,crossing:island,denomination,religion,wikidata,button_operated,traffic_signals:sound,traffic_signals:vibration,old_name,microbrewery,social_facility:for,delivery,internet_access,internet_access:fee,outdoor_seating,smoking,traffic_signals:direction,access,covered,fee,parking,supervised,craft,tactile_paving,direction,surface,traffic_calming,cyclestreet,cycleway,maxspeed,sidewalk,source:maxspeed,oneway,lane_markings,cycleway:both,building,building:levels,roof:levels,roof:shape,lanes,landuse,residential,height,wikipedia,tunnel,barrier,leisure,indoor,ref,route,type,from,to,via,route_master,duration,interval,interval:conditional,public_transport:version,WKT
"341994487",,"Aarhus C","DK","15","Aarhus","8000","Bülowsgade","0a3f5095-fe7d-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202332 56.147661)"
"341994488",,"Aarhus C","DK","15B","Aarhus","8000","Bülowsgade","0a3f5095-fe7e-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202595 56.147672)"
"341994489",,"Aarhus C","DK","16","Aarhus","8000","Bülowsgade","0a3f5095-fe7f-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.2019749 56.147584)"
"341994490",,"Aarhus C","DK","16B","Aarhus","8000","Bülowsgade","0a3f5095-fe80-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202019 56.147576)"
"341994491",,"Aarhus C","DK","17","Aarhus","8000","Bülowsgade","0a3f5095-fe81-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202358 56.147602)"
"341994492",,"Aarhus C","DK","18","Aarhus","8000","Bülowsgade","0a3f5095-fe82-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.2019819 56.147525)"
"341994493",,"Aarhus C","DK","18B","Aarhus","8000","Bülowsgade","0a3f5095-fe83-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.201684 56.14751)"
"341994494",,"Aarhus C","DK","19","Aarhus","8000","Bülowsgade","0a3f5095-fe84-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202363 56.14754)"
"341994495",,"Aarhus C","DK","19B","Aarhus","8000","Bülowsgade","0a3f5095-fe85-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202603 56.147537)"
"341994496",,"Aarhus C","DK","20","Aarhus","8000","Bülowsgade","0a3f5095-fe86-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.201978 56.147471)"
"341994497",,"Aarhus C","DK","20B","Aarhus","8000","Bülowsgade","0a3f5095-fe87-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.201692 56.147465)"
"341994498",,"Aarhus C","DK","21","Aarhus","8000","Bülowsgade","0a3f5095-fe88-32b8-e044-0003ba298018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POINT (10.202362 56.147481)"
