WKT,building
"MULTIPOLYGON (((10.2053941 56.1412633,10.205375 56.1412014,10.2052291 56.1412154,10.2052231 56.1411958,10.205049 56.1412125,10.2050745 56.1412951,10.2051397 56.1412888,10.2051437 56.1413019,10.2052012 56.1412963,10.2051968 56.1412822,10.2053941 56.1412633)))",yes
"MULTIPOLYGON (((10.2061651 56.1410604,10.2060518 56.141068,10.206047 56.1410454,10.2059746 56.1410502,10.2059795 56.1410729,10.2059175 56.141077,10.205926 56.1411165,10.2058712 56.1411201,10.2058788 56.1411551,10.2059334 56.1411514,10.2059353 56.1411603,10.2060409 56.1411532,10.2060435 56.1411655,10.2061857 56.1411561,10.2061651 56.1410604)))",yes
"MULTIPOLYGON (((10.2065725 56.1411846,10.2067163 56.1411715,10.2067003 56.141117,10.2067441 56.141113,10.2067515 56.1411383,10.2067916 56.1411346,10.2067995 56.1411619,10.2068619 56.1411562,10.2068541 56.1411293,10.2069013 56.141125,10.2068674 56.1410092,10.2067216 56.1410225,10.2067386 56.1410804,10.2066816 56.1410856,10.2066879 56.1411068,10.2065533 56.141119,10.2065725 56.1411846)))",yes
"MULTIPOLYGON (((10.2066533 56.140979,10.2068464 56.1409643,10.2068371 56.1409264,10.2068936 56.1409221,10.2068725 56.1408357,10.206867 56.1408361,10.206858 56.1407994,10.206695 56.1408118,10.2067143 56.1408908,10.2066798 56.1408934,10.2066894 56.1409327,10.2066429 56.1409363,10.2066533 56.140979)))",yes
"MULTIPOLYGON (((10.2068524 56.1407567,10.2068419 56.1407072,10.2067957 56.1407102,10.2067806 56.1406388,10.2067561 56.1406404,10.2067347 56.140539,10.2066305 56.1405459,10.2066362 56.1405727,10.2065696 56.1405771,10.2066004 56.1407226,10.206634 56.1407204,10.2066403 56.1407501,10.2066849 56.1407472,10.2066892 56.1407674,10.2068524 56.1407567)))",yes
"MULTIPOLYGON (((10.2067826 56.1403276,10.2066209 56.1403335,10.2066246 56.1403654,10.2066367 56.140365,10.2066442 56.1404295,10.2065516 56.1404328,10.2065648 56.1405463,10.2066748 56.1405424,10.2066703 56.1405037,10.2067888 56.1404994,10.2067725 56.1403594,10.2067862 56.1403589,10.2067826 56.1403276)))",yes
"MULTIPOLYGON (((10.2065952 56.1403028,10.2067558 56.140296,10.2067599 56.1403255,10.2065992 56.1403323,10.2065952 56.1403028)))",yes
"MULTIPOLYGON (((10.2067593 56.1401764,10.2066484 56.1401813,10.2066513 56.1402015,10.2065599 56.1402056,10.2065696 56.140274,10.2064854 56.1402777,10.2064903 56.1403121,10.206588 56.1403079,10.2065843 56.1402818,10.2067731 56.1402735,10.2067593 56.1401764)))",yes
"MULTIPOLYGON (((10.2058866 56.1402454,10.2060056 56.1401527,10.2057727 56.1400599,10.205703 56.1401142,10.2058518 56.1401735,10.2058025 56.1402119,10.2058866 56.1402454)))",yes
"MULTIPOLYGON (((10.2061922 56.1403497,10.2062395 56.1403473,10.2062341 56.1403148,10.2061868 56.1403172,10.2061922 56.1403497)))",yes
"MULTIPOLYGON (((10.2062199 56.1402168,10.2061384 56.1402011,10.2061135 56.1402412,10.2061951 56.1402569,10.2062199 56.1402168)))",yes
"MULTIPOLYGON (((10.2057141 56.1403157,10.2056378 56.1402851,10.2056797 56.1402527,10.205564 56.1402062,10.2054535 56.1402916,10.2054867 56.140305,10.205471 56.1403172,10.2055316 56.1403415,10.205546 56.1403303,10.2055668 56.1403386,10.2055959 56.1403162,10.2056733 56.1403472,10.2057141 56.1403157)))",yes
"MULTIPOLYGON (((10.2056024 56.1404142,10.205631 56.1403921,10.205518 56.1403466,10.2054894 56.1403686,10.2056024 56.1404142)))",yes
